"state1","state2","distance"
"Maryland","Idaho",1971.87225724078
"Massachusetts","Idaho",2138.22197814781
"Michigan","Idaho",1439.1071360353
"Minnesota","Idaho",995.593833686303
"Mississippi","Idaho",1561.50927267152
"Missouri","Idaho",1219.42496098202
"Montana","Idaho",304.667496406053
"Nebraska","Idaho",774.93530965356
"Nevada","Idaho",361.876745717086
"New Hampshire","Idaho",2119.54025624744
"New Jersey","Idaho",2046.87215565491
"New Mexico","Idaho",822.173892285646
"New York","Idaho",1943.02178217766
"North Carolina","Idaho",1949.07303561625
"North Dakota","Idaho",713.772487631651
"Ohio","Idaho",1643.18385893812
"Oklahoma","Idaho",1087.97551277743
"Oregon","Idaho",296.926159313803
"Pennsylvania","Idaho",1876.10164052914
"Rhode Island","Idaho",2163.71955827682
"South Carolina","Idaho",1932.32190214273
"South Dakota","Idaho",711.306521558464
"Tennessee","Idaho",1597.96252683968
"Texas","Idaho",1214.86782928609
"Utah","Idaho",379.831556288239
"Vermont","Idaho",2060.08107749142
"Virginia","Idaho",1913.26490342663
"Washington","Idaho",350.666571264491
"West Virginia","Idaho",1793.40407854511
"Wisconsin","Idaho",1212.36635973626
"Wyoming","Idaho",365.896216402291
"Alabama","Illinois",517.784851991745
"Alaska","Illinois",2985.08896532394
"Arizona","Illinois",1297.95215985107
"Arkansas","Illinois",397.25903354564
"California","Illinois",1642.18966999593
"Colorado","Illinois",875.399885093344
"Connecticut","Illinois",868.686905700781
"Delaware","Illinois",734.452111750198
"District of Columbia","Illinois",655.432695749855
"Florida","Illinois",875.358491319038
"Georgia","Illinois",602.468765058737
"Hawaii","Illinois",4143.94003627413
"Idaho","Illinois",1332.1222636358
"Illinois","Illinois",0
"Indiana","Illinois",155.067835757307
"Iowa","Illinois",264.755948429309
"Kansas","Illinois",503.669170408045
"Kentucky","Illinois",272.179974236439
"Louisiana","Illinois",638.301285488945
"Maine","Illinois",1076.87079295969
"Maryland","Illinois",665.512457913494
"Massachusetts","Illinois",918.113252699668
"Michigan","Illinois",354.94082392218
"Minnesota","Illinois",501.881195493311
"Mississippi","Illinois",504.393605365091
"Missouri","Illinois",210.120031522656
"Montana","Illinois",1130.14473898686
"Nebraska","Illinois",564.965076161783
"Nevada","Illinois",1457.41305261123
"New Hampshire","Illinois",940.841567758037
"New Jersey","Illinois",768.548012928275
"New Mexico","Illinois",1008.44930712795
"New York","Illinois",736.2016586154
"North Carolina","Illinois",619.021234856587
"North Dakota","Illinois",759.984531352793
"Ohio","Illinois",339.272191165311
"Oklahoma","Illinois",547.720889211256
"Oregon","Illinois",1626.94768590377
"Pennsylvania","Illinois",602.990608688562
"Rhode Island","Illinois",929.380541538887
"South Carolina","Illinois",623.352965997876
"South Dakota","Illinois",641.337419557082
"Tennessee","Illinois",327.698243226593
"Texas","Illinois",819.328931837231
"Utah","Illinois",1196.04335197351
"Vermont","Illinois",892.717676450035
"Virginia","Illinois",584.452823915026
"Washington","Illinois",1632.2210246567
"West Virginia","Illinois",469.131498981141
"Wisconsin","Illinois",318.920823835243
"Wyoming","Illinois",971.484155535146
"Alabama","Indiana",491.516892313448
"Alaska","Indiana",3081.82487003195
"Arizona","Indiana",1449.14857530024
"Arkansas","Indiana",483.312998682497
"California","Indiana",1797.25742904468
"Colorado","Indiana",1030.36271209916
"Connecticut","Indiana",720.329963022676
"Delaware","Indiana",579.456495453695
"District of Columbia","Indiana",500.365184899498
"Florida","Indiana",806.523380771987
"Georgia","Indiana",524.510971782779
"Hawaii","Indiana",4298.99813949124
"Idaho","Indiana",1480.0175831349
"Illinois","Indiana",155.067835757307
"Indiana","Indiana",0
"Iowa","Indiana",405.991549247031
"Kansas","Indiana",656.082822188956
"Kentucky","Indiana",171.143186023049
"Louisiana","Indiana",688.111378292516
"Maine","Indiana",944.687799294389
"Maryland","Indiana",510.471854402334
"Massachusetts","Indiana",772.174386744052
"Michigan","Indiana",310.547254197238
